Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Nov 2019,29,5,0.208,"1,165",1,-,-,5,8.2K
Oct 2019,24,9,0.6,"2,145",1,-1,-50%,7,6.6K
Sep 2019,15,-32,-68.10%,523,2,-,-,8,6.4K
Aug 2019,47,-75,-61.50%,"5,987",2,-1,-33.30%,12,26.7K
Jul 2019,122,90,2.81,"26,360",3,1,0.5,13,57.9K
Jun 2019,32,23,2.56,"1,975",2,1,1,11,15.2K
May 2019,9,8,8,259,1,-,-,4,1.2K
Apr 2019,1,-2,-66.70%,11,1,-,-,3,81
Mar 2019,3,2,2,68,1,-,-,3,177
Feb 2019,1,-,-,7,1,-,-,3,49
Jan 2019,1,-307,-99.70%,3,1,-,-,1,3
Dec 2018,308,242,3.67,"4,378",1,-,-,2,2.9K
Nov 2018,66,"-1,487",-95.80%,455,1,-,-,1,1.9K
Oct 2018,"1,553",-,-,"7,441",1,-,-,3,9.3K
