month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched
2023-07-01,among_us,3577,163,4.8,241472,94,-9,-8.7,257,2640000
2023-08-01,among_us,3360,-217,-6.1,176156,86,-8,-8.5,259,2410000
2023-09-01,among_us,3004,-356,-10.6,99679,89,3,3.5,321,2220000
2023-10-01,among_us,3385,381,12.7,98159,85,-4,-4.5,243,2430000
2023-11-01,among_us,1893,-1492,-44.1,40437,75,-10,-11.8,292,1400000
2023-12-01,among_us,3174,1281,67.7,100405,87,12,16.0,250,2320000
2024-01-01,among_us,2583,-591,-18.6,63862,80,-7,-8.0,229,1800000
2024-02-01,among_us,3019,436,16.9,97512,81,1,1.3,247,2240000
2024-03-01,among_us,3931,912,30.2,67818,79,-2,-2.5,237,2810000
2024-04-01,among_us,2869,-1062,-27.0,72937,71,-8,-10.1,220,2130000
2024-05-01,among_us,2767,-102,-3.6,63180,78,7,9.9,215,1990000
2024-06-01,among_us,3019,252,9.1,62319,100,22,28.2,244,2240000
2024-07-01,among_us,2947,-72,-2.4,67904,91,-9,-9.0,282,2170000
2024-08-01,among_us,2462,-485,-16.5,104083,80,-11,-12.1,237,1740000
2024-09-01,among_us,2622,160,6.5,70568,70,-10,-12.5,222,1930000
2024-10-01,among_us,2888,266,10.1,104216,64,-6,-8.6,196,2080000
2024-11-01,among_us,2889,1,,74518,67,3,4.7,201,2150000
2024-12-01,among_us,5716,2827,97.9,116857,77,10,14.9,261,4240000
2025-01-01,among_us,4372,-1344,-23.5,114629,78,1,1.3,273,2930000
2025-02-01,among_us,2980,-1392,-31.8,75013,81,3,3.8,352,2210000
2025-03-01,among_us,2323,-657,-22.0,60975,57,-24,-29.6,189,1670000
2025-04-01,among_us,2916,593,25.5,83442,61,4,7.0,184,2170000
2025-05-01,among_us,1851,-1065,-36.5,63223,60,-1,-1.6,188,1330000
2025-06-01,among_us,2355,504,27.2,85613,60,,,178,1750000
2025-07-01,among_us,2325,-30,-1.3,123673,59,-1,-1.7,159,1730000
2025-08-01,among_us,1821,-504,-21.7,85745,58,-1,-1.7,200,1310000
2025-09-01,among_us,2024,203,11.1,70270,58,,,216,1510000
2025-10-01,among_us,2047,23,1.1,69098,55,-3,-5.2,181,1470000
2025-11-01,among_us,2300,253,12.4,164867,60,5,9.1,189,1710000
2025-12-01,among_us,2482,182,7.9,210509,83,23,38.3,269,1830000
2026-01-01,among_us,2819,337,13.6,142456,74,-9,-10.8,236,1890000
2026-02-01,among_us,2319,-500,-17.7,89348,67,-7,-9.5,211,1730000
2026-03-01,among_us,2625,306,13.2,122034,67,,,227,1510000
